Gilbert[20]	Arizona
Baton Rouge[21]	Louisiana
Irving	Texas
Scottsdale	Arizona
North Las Vegas	Nevada
Fremont	California
Boise[22]	Idaho
Richmond[15]	Virginia
San Bernardino	California
Birmingham	Alabama
Spokane	Washington
Rochester	New York
Des Moines	Iowa
Modesto	California
Fayetteville	North Carolina
Tacoma	Washington
Oxnard	California
Fontana	California
Columbus[23]	Georgia
Montgomery	Alabama
Moreno Valley	California
Shreveport	Louisiana
Aurora	Illinois
Yonkers	New York
Akron	Ohio
Huntington Beach	California
Little Rock	Arkansas
Augusta[24]	Georgia
Amarillo	Texas
Glendale	California
Mobile	Alabama
Grand Rapids	Michigan
Salt Lake City	Utah
Tallahassee	Florida
Huntsville	Alabama
Grand Prairie	Texas
Knoxville	Tennessee
Worcester	Massachusetts
Newport News[15]	Virginia
Brownsville	Texas
Overland Park	Kansas
Santa Clarita	California
Providence	Rhode Island
Garden Grove	California
Chattanooga	Tennessee
Oceanside	California
Jackson	Mississippi
Fort Lauderdale	Florida
Santa Rosa	California
Rancho Cucamonga	California
Port St. Lucie	Florida
Tempe	Arizona
Ontario	California
Vancouver	Washington
Cape Coral	Florida
Sioux Falls	South Dakota
Springfield	Missouri
Peoria	Arizona
Pembroke Pines	Florida
Elk Grove	California
Salem	Oregon
Lancaster	California
Corona	California
Eugene	Oregon
Palmdale	California
Salinas	California
Springfield	Massachusetts
Pasadena	Texas
Fort Collins	Colorado
Hayward	California
Pomona	California
Cary[25]	North Carolina
Rockford	Illinois
Alexandria[15]	Virginia
Escondido	California
McKinney	Texas
Kansas City[26]	Kansas
Joliet	Illinois
Sunnyvale	California
Torrance	California
Bridgeport	Connecticut
Lakewood	Colorado
Hollywood	Florida
Paterson	New Jersey
Naperville	Illinois
Syracuse	New York
Mesquite	Texas
Dayton	Ohio
Savannah	Georgia
Clarksville	Tennessee
Orange	California
Pasadena	California
Fullerton	California
Killeen	Texas
Frisco	Texas
Hampton[15]	Virginia
McAllen	Texas
Warren	Michigan
Bellevue	Washington
West Valley City	Utah
Columbia	South Carolina
Olathe	Kansas
Sterling Heights	Michigan
New Haven	Connecticut
Miramar	Florida
Waco	Texas
Thousand Oaks	California
Cedar Rapids	Iowa
Charleston	South Carolina
Visalia	California
Topeka	Kansas
Elizabeth	New Jersey
Gainesville	Florida
Thornton	Colorado
Roseville	California
Carrollton	Texas
Coral Springs	Florida
Stamford	Connecticut
Simi Valley	California
Concord	California
Hartford	Connecticut
Kent	Washington
Lafayette[27]	Louisiana
Midland	Texas
Surprise	Arizona
Denton	Texas
Victorville	California
Evansville	Indiana
Santa Clara	California
Abilene	Texas
Athens[28]	Georgia
Vallejo	California
Allentown	Pennsylvania
Norman	Oklahoma
Beaumont	Texas
Independence	Missouri
Murfreesboro	Tennessee
Ann Arbor	Michigan
Springfield	Illinois
Berkeley	California
Peoria	Illinois
Provo	Utah
El Monte	California
Columbia	Missouri
Lansing	Michigan
Fargo	North Dakota
Downey	California
Costa Mesa	California
Wilmington	North Carolina
Arvada	Colorado
Inglewood	California
Miami Gardens	Florida
Carlsbad	California
Westminster	Colorado
Rochester	Minnesota
Odessa	Texas
Manchester	New Hampshire
Elgin	Illinois
West Jordan	Utah
Round Rock	Texas
Clearwater	Florida
Waterbury	Connecticut
Gresham	Oregon
Fairfield	California
Billings	Montana
Lowell	Massachusetts
Ventura[29]	California
Pueblo	Colorado
High Point	North Carolina
West Covina	California
Richmond	California
Murrieta	California
Cambridge	Massachusetts
Antioch	California
Temecula	California
Norwalk	California
Centennial	Colorado
Everett	Washington
Palm Bay	Florida
Wichita Falls	Texas
Green Bay	Wisconsin
Daly City	California
Burbank	California
Richardson	Texas
Pompano Beach	Florida
North Charleston	South Carolina
Broken Arrow	Oklahoma
Boulder	Colorado
West Palm Beach	Florida
Santa Maria	California
El Cajon	California
Davenport	Iowa
Rialto	California
Edison	New Jersey
Las Cruces	New Mexico
San Mateo	California
Lewisville	Texas
South Bend	Indiana
Lakeland	Florida
Erie	Pennsylvania
Woodbridge	New Jersey
Tyler	Texas
Pearland	Texas
College Station	Texas
